From	To
CDCA2_MOUSE	Cdca2
GBRAP_MOUSE	Gabarap
COE2_MOUSE	Ebf2
2ABA_MOUSE	Ppp2r2a
BNI3L_MOUSE	Bnip3l
PNMA2_MOUSE	Pnma2
DPYL2_MOUSE	Dpysl2
ADA1A_MOUSE	Adra1a
STMN4_MOUSE	Stmn4
TRI35_MOUSE	Trim35
FAK2_MOUSE	Ptk2b
ACHA2_MOUSE	Chrna2
ADAM2_MOUSE	Adam2
GGLO_MOUSE	Gulo
CLUS_MOUSE	Clu
SCAR3_MOUSE	Scara3
CCD25_MOUSE	Ccdc25
ESCO2_MOUSE	Esco2
TOPK_MOUSE	Pbk
SCAR5_MOUSE	Scara5
SLIP_MOUSE	Nuggc
ELP3_MOUSE	Elp3
PNOC_MOUSE	Pnoc
FBX16_MOUSE	Fbxo16
FZD3_MOUSE	Fzd3
EXTL3_MOUSE	Extl3
INT9_MOUSE	Ints9
HMBX1_MOUSE	Hmbox1
MSRA_MOUSE	Msra
PRS52_MOUSE	Prss52
PRS55_MOUSE	Prss55
RP1L1_MOUSE	Rp1l1
SOX7_MOUSE	Sox7
PINX1_MOUSE	Pinx1
XKR6_MOUSE	Xkr6
MTMR9_MOUSE	Mtmr9
TDH_MOUSE	Tdh
F167A_MOUSE	Fam167a
BLK_MOUSE	Blk
GATA4_MOUSE	Gata4
NEIL2_MOUSE	Neil2
FDFT_MOUSE	Fdft1
CATB_MOUSE	Ctsb
NGBR_MOUSE	Nus1
WDFY2_MOUSE	Wdfy2
INT6_MOUSE	Ints6
NEUS_MOUSE	Serpini1
F124B_MOUSE	Fam124b
GCYB1_MOUSE	Gucy1b1
RNH2B_MOUSE	Rnaseh2b
LEU7_MOUSE	Dleu7
KCNRG_MOUSE	Kcnrg
TRI13_MOUSE	Trim13
SPRY7_MOUSE	Spryd7
ARL11_MOUSE	Arl11
SGCG_MOUSE	Sgcg
SACS_MOUSE	Sacs
TNR19_MOUSE	Tnfrsf19
MIPEP_MOUSE	Mipep
C1QT9_MOUSE	C1qtnf9
SPT13_MOUSE	Spata13
CHM4B_MOUSE	Chmp4b
AMER2_MOUSE	Amer2
MTMR6_MOUSE	Mtmr6
NUP58_MOUSE	Nup58
AT8A2_MOUSE	Atp8a2
SHSA2_MOUSE	Shisa2
CDAC1_MOUSE	Cdadc1
CB39L_MOUSE	Cab39l
SETB2_MOUSE	Setdb2
RCBT1_MOUSE	Rcbtb1
RTRAF_MOUSE	RTRAF
FGF9_MOUSE	Fgf9
MICU2_MOUSE	Micu2
ZDH20_MOUSE	Zdhhc20
RT63_MOUSE	Mrpl57
SKA3_MOUSE	Ska3
SAP18_MOUSE	Sap18
LATS2_MOUSE	Lats2
XPO4_MOUSE	Xpo4
IL17B_MOUSE	Il17b
IFT88_MOUSE	Ift88
CRYL1_MOUSE	Cryl1
CXB6_MOUSE	Gjb6
CXB2_MOUSE	Gjb2
CXA3_MOUSE	Gja3
ZMYM2_MOUSE	Zmym2
ZMYM5_MOUSE	Zmym5
PSPC1_MOUSE	Pspc1
MPP8_MOUSE	Mphosph8
VMA5A_MOUSE	Vwa5a
CENPJ_MOUSE	Cenpj
RNF17_MOUSE	Rnf17
AT12A_MOUSE	Atp12a
GRAB_MOUSE	Gzmb
GRAG_MOUSE	Gzmg
GRAC_MOUSE	Gzmc
GRAF_MOUSE	Gzmf
CATG_MOUSE	Ctsg
MCPT8_MOUSE	Mcpt8
MCPT4_MOUSE	Mcpt4
CMA1_MOUSE	Cma1
D39U1_MOUSE	Sdr39u1
KHNYN_MOUSE	Khnyn
CBLN3_MOUSE	Cbln3
NFAC4_MOUSE	Nfatc4
RIPK3_MOUSE	Ripk3
ADCY4_MOUSE	Adcy4
LT4R1_MOUSE	Ltb4r
LT4R2_MOUSE	Ltb4r2
CIDEB_MOUSE	Cideb
NOP9_MOUSE	Nop9
PGTA_MOUSE	Rabggta
TGM1_MOUSE	Tgm1
TINF2_MOUSE	Tinf2
GMPR2_MOUSE	Gmpr2
MGDP1_MOUSE	Mdp1
TSSK4_MOUSE	Tssk4
TM9S1_MOUSE	Tm9sf1
IPO4_MOUSE	Ipo4
REC8_MOUSE	Rec8
RNF31_MOUSE	Rnf31
PSME2_MOUSE	Psme2
EMC9_MOUSE	Emc9
PSME1_MOUSE	Psme1
FITM1_MOUSE	Fitm1
DCA11_MOUSE	Dcaf11
PCKGM_MOUSE	Pck2
NRL_MOUSE	Nrl
CPNE6_MOUSE	Cpne6
DHRS4_MOUSE	Dhrs4
JPH4_MOUSE	Jph4
AP1G2_MOUSE	Ap1g2
THTPA_MOUSE	Thtpa
ZFHX2_MOUSE	Zfhx2
CKLF5_MOUSE	Cmtm5
S22AH_MOUSE	Slc22a17
B2CL2_MOUSE	Bcl2l2
HOMEZ_MOUSE	Homez
R212B_MOUSE	Rnf212b
LAT2_MOUSE	Slc7a8
CEBPE_MOUSE	Cebpe
RUXG_MOUSE	Snrpg
LMLN_MOUSE	Lmln
CN119_MOUSE	MNCb-2990
ACINU_MOUSE	Acin1
CAD24_MOUSE	Cdh24
PSB11_MOUSE	Psmb11
PSB5_MOUSE	Psmb5
AJUBA_MOUSE	Ajuba
HAUS4_MOUSE	Haus4
ANM5_MOUSE	Prmt5
REM2_MOUSE	Rem2
LRP10_MOUSE	Lrp10
YLAT1_MOUSE	Slc7a7
OXA1L_MOUSE	Oxa1l
OLF49_MOUSE	Olfr49
LYPA2_MOUSE	Lypla2
ABHD4_MOUSE	Abhd4
DAD1_MOUSE	Dad1
DPA5A_MOUSE	Dppa5a
TCA_MOUSE	Tcra
IF1A_MOUSE	Eif1a
PD2R_MOUSE	Ptgdr
PE2R2_MOUSE	Ptger2
TXD16_MOUSE	Txndc16
ERO1A_MOUSE	Ero1a
PRS10_MOUSE	Psmc6
STYX_MOUSE	Styx
GNA1_MOUSE	Gnpnat1
FERM2_MOUSE	Fermt2
DDHD1_MOUSE	Ddhd1
BMP4_MOUSE	Bmp4
HSP7C_MOUSE	Hspa8
CDKN3_MOUSE	Cdkn3
CNIH1_MOUSE	Cnih1
GMFB_MOUSE	Gmfb
CGRF1_MOUSE	Cgrrf1
SMAG1_MOUSE	Samd4a
GCH1_MOUSE	Gch1
WDHD1_MOUSE	Wdhd1
SOCS4_MOUSE	Socs4
LEG3_MOUSE	Lgals3
DLGP5_MOUSE	Dlgap5
FBX34_MOUSE	Fbxo34
BAKOR_MOUSE	Atg14
NGDN_MOUSE	Ngdn
U2AF2_MOUSE	U2af2
CCND3_MOUSE	Ccnd3
KTN1_MOUSE	Ktn1
PELI2_MOUSE	Peli2
TM260_MOUSE	Tmem260
OTX2_MOUSE	Otx2
EXOC5_MOUSE	Exoc5
AP5M1_MOUSE	Ap5m1
NAA30_MOUSE	Naa30
CC198_MOUSE	Ccdc198
S35F4_MOUSE	Slc35f4
RL38_MOUSE	Rpl38
ARMD4_MOUSE	Armh4
UBP1_MOUSE	Usp1
TEX11_MOUSE	Tex11
KCMA1_MOUSE	Kcnma1
LRMDA_MOUSE	Lrmda
ZN503_MOUSE	Znf503
QCR10_MOUSE	Uqcr11
CMTD1_MOUSE	Comtd1
VDAC2_MOUSE	Vdac2
SAMD8_MOUSE	Samd8
DS13B_MOUSE	Dusp13
DUPD1_MOUSE	Dupd1
KAT6B_MOUSE	Kat6b
PAIRB_MOUSE	Serbp1
ADK_MOUSE	Adk
AP3M1_MOUSE	Ap3m1
VINC_MOUSE	Vcl
UROK_MOUSE	Plau
KCC2G_MOUSE	Camk2g
NDST2_MOUSE	Ndst2
ZSWM8_MOUSE	Zswim8
FUT11_MOUSE	Fut11
SYP2L_MOUSE	Synpo2l
UBP54_MOUSE	Usp54
MSS51_MOUSE	Mss51
DNJC9_MOUSE	Dnajc9
F149B_MOUSE	Fam149b1
ECD_MOUSE	Ecd
NUD13_MOUSE	Nudt13
RT15_MOUSE	Mrps15
COF1_MOUSE	Cfl1
KCNK4_MOUSE	Kcnk4
SMDC1_MOUSE	Saysd1
GBG2_MOUSE	Gng2
NID2_MOUSE	Nid2
TIM23_MOUSE	Timm23
TLR11_MOUSE	Tlr11
HMGB1_MOUSE	Hmgb1
TTC5_MOUSE	Ttc5
CIP1_MOUSE	Ccnb1ip1
PARP2_MOUSE	Parp2
TEP1_MOUSE	Tep1
OSGEP_MOUSE	Osgep
APEX1_MOUSE	Apex1
PP4P1_MOUSE	Pip4p1
PNPH_MOUSE	Pnp
RNS10_MOUSE	Rnase10
RNS12_MOUSE	Rnase12
ANGI_MOUSE	Ang
RNAS4_MOUSE	Rnase4
RNAS6_MOUSE	Rnase6
RNAS1_MOUSE	Rnase1
MET17_MOUSE	Mettl17
NDRG2_MOUSE	Ndrg2
TPPP2_MOUSE	Tppp2
RNS13_MOUSE	Rnase13
ZN219_MOUSE	Znf219
TM253_MOUSE	Tmem253
RPGR1_MOUSE	Rpgrip1
SP16H_MOUSE	Supt16h
CHD8_MOUSE	Chd8
TOX4_MOUSE	Tox4
MTA70_MOUSE	Mettl3
SALL2_MOUSE	Sall2
OL958_MOUSE	Olfr958
TYB4_MOUSE	Tmsb4x
OL149_MOUSE	Olfr149
AKP13_MOUSE	Akap13
SMK2A_MOUSE	Smok2a
SKP2_MOUSE	Skp2
OBP1B_MOUSE	Obp1b
BRDT_MOUSE	Brdt
FHL17_MOUSE	Fthl17
P23A3_MOUSE	Prr23a3
RAB6A_MOUSE	Rab6a
PKHB1_MOUSE	Plekhb1
F168A_MOUSE	Fam168a
ARHGH_MOUSE	Arhgef17
P2RY6_MOUSE	P2ry6
P2RY2_MOUSE	P2ry2
FCSD2_MOUSE	Fchsd2
A16L2_MOUSE	Atg16l2
STA10_MOUSE	Stard10
ARAP1_MOUSE	Arap1
PDE2A_MOUSE	Pde2a
NAR2A_MOUSE	Art2a
CLPB_MOUSE	Clpb
PHX2A_MOUSE	Phox2a
SHIP2_MOUSE	Inppl1
FOLR2_MOUSE	Folr2
RL11_MOUSE	Rpl11
APC15_MOUSE	Anapc15
TOMT_MOUSE	Tomt
LTOR1_MOUSE	Lamtor1
LRC51_MOUSE	Lrrc51
NUMA1_MOUSE	Numa1
RN121_MOUSE	Rnf121
TRPC2_MOUSE	Trpc2
NAR5_MOUSE	Art5
NAR1_MOUSE	Art1
ACHA7_MOUSE	Chrna7
NUP98_MOUSE	Nup98
PGAP2_MOUSE	Pgap2
STIM1_MOUSE	Stim1
RIR1_MOUSE	Rrm1
O51E2_MOUSE	Or51e2
OL688_MOUSE	Olfr688
RO52_MOUSE	Trim21
HBB1_MOUSE	Hbb-b1
HBE_MOUSE	Hbb-y
TR30A_MOUSE	Trim30a
UBQL3_MOUSE	Ubqln3
UBQLN_MOUSE	Ubqlnl
TRIM6_MOUSE	Trim6
TR12A_MOUSE	Trim12a
U17PA_MOUSE	Usp17la
RB15B_MOUSE	Rbm15b
F16A2_MOUSE	Fam160a2
CNGA4_MOUSE	Cnga4
GASR_MOUSE	Cckbr
CAVN3_MOUSE	Cavin3
ASM_MOUSE	Smpd1
APBB1_MOUSE	Apbb1
HEMO_MOUSE	Hpx
TRIM3_MOUSE	Trim3
ARFP2_MOUSE	Arfip2
DYH2_MOUSE	Dnah2
RRP8_MOUSE	Rrp8
ILK_MOUSE	Ilk
TPP1_MOUSE	Tpp1
PCD16_MOUSE	Dchs1
RM17_MOUSE	Mrpl17
GVIN1_MOUSE	Gvin1
STRAP_MOUSE	Strap
OLF9_MOUSE	Olfr9
NAL14_MOUSE	Nlrp14
SYT9_MOUSE	Syt9
LIPB2_MOUSE	Ppfibp2
OVCH2_MOUSE	Ovch2
OL481_MOUSE	Olfr481
OL469_MOUSE	Olfr469
OL473_MOUSE	Olfr473
OL477_MOUSE	Olfr477
OL478_MOUSE	Olfr478
O1086_MOUSE	Olfr1086
OL491_MOUSE	Olfr491
OL497_MOUSE	Olfr497
OL484_MOUSE	Olfr484
OL510_MOUSE	Olfr510
OL508_MOUSE	Olfr508
NAL10_MOUSE	Nlrp10
EIF3F_MOUSE	Eif3f
TUB_MOUSE	Tub
RIC3_MOUSE	Ric3
RBTN1_MOUSE	Lmo1
STK33_MOUSE	Stk33
TRI66_MOUSE	Trim66
ST5_MOUSE	St5
AKIP1_MOUSE	Akip1
CK016_MOUSE	D7h11orf16
ASCL3_MOUSE	Ascl3
TMM9B_MOUSE	Tmem9b
NRIP3_MOUSE	Nrip3
SCUB2_MOUSE	Scube2
DEN5A_MOUSE	Dennd5a
IPO7_MOUSE	Ipo7
WEE1_MOUSE	Wee1
SWP70_MOUSE	Swap70
MTMR5_MOUSE	Sbf1
ADML_MOUSE	Adm
AMPD3_MOUSE	Ampd3
RN141_MOUSE	Rnf141
LYVE1_MOUSE	Lyve1
MRVI1_MOUSE	Mrvi1
CTR9_MOUSE	Ctr9
IF4G2_MOUSE	Eif4g2
GLT18_MOUSE	Galnt18
UBP47_MOUSE	Usp47
DKK3_MOUSE	Dkk3
MICA2_MOUSE	Mical2
MICLK_MOUSE	Micalcl
PARVA_MOUSE	Parva
RASFA_MOUSE	Rassf10
BMAL1_MOUSE	Arntl
FACR1_MOUSE	Far1
SPON1_MOUSE	Spon1
RRAS2_MOUSE	Rras2
COPB_MOUSE	Copb1
PSA1_MOUSE	Psma1
PDE3B_MOUSE	Pde3b
CP2R1_MOUSE	Cyp2r1
CALCA_MOUSE	Calca
CALCB_MOUSE	Calcb
INSC_MOUSE	Insc
SOX6_MOUSE	Sox6
SMAP_MOUSE	Smap
PKHA7_MOUSE	Plekha7
P3C2A_MOUSE	Pik3c2a
NUCB2_MOUSE	Nucb2
TPSNR_MOUSE	Tapbpl
XYLT1_MOUSE	Xylt1
AR6P1_MOUSE	Arl6ip1
SMG1_MOUSE	Smg1
SYT17_MOUSE	Syt17
IPIL2_MOUSE	Itpripl2
COQ7_MOUSE	Coq7
TMC7_MOUSE	Tmc7
TMC5_MOUSE	Tmc5
GDE1_MOUSE	Gde1
KNOP1_MOUSE	Knop1
GPC5B_MOUSE	Gprc5b
GP139_MOUSE	Gpr139
GP2_MOUSE	Gp2
UROM_MOUSE	Umod
PDILT_MOUSE	Pdilt
ACSM5_MOUSE	Acsm5
ACSM2_MOUSE	Acsm2
ACSM1_MOUSE	Acsm1
TYSY_MOUSE	Tyms
ACSM4_MOUSE	Acsm4
THUM1_MOUSE	Thumpd1
ACSM3_MOUSE	Acsm3
ERI2_MOUSE	Eri2
PUF60_MOUSE	Puf60
DCNL3_MOUSE	Dcun1d3
LYRM1_MOUSE	Lyrm1
TM159_MOUSE	Tmem159
ZP2_MOUSE	Zp2
ANS4B_MOUSE	Anks4b
CRYM_MOUSE	Crym
ABCA3_MOUSE	Abca3
QCR2_MOUSE	Uqcrc2
PDZD9_MOUSE	Pdzd9
MOSMO_MOUSE	Mosmo
VWA3A_MOUSE	Vwa3a
EF2K_MOUSE	Eef2k
RPC5_MOUSE	Polr3e
CDR2_MOUSE	Cdr2
METL9_MOUSE	Mettl9
OTOAN_MOUSE	Otoa
HS3S2_MOUSE	Hs3st2
UBP43_MOUSE	Usp43
SCNNG_MOUSE	Scnn1g
SCNNB_MOUSE	Scnn1b
COG7_MOUSE	Cog7
GGA2_MOUSE	Gga2
SYEM_MOUSE	Ears2
UBFD1_MOUSE	Ubfd1
PALB2_MOUSE	Palb2
ERN2_MOUSE	Ern2
CHP2_MOUSE	Chp2
KPCB_MOUSE	Prkcb
CCG3_MOUSE	Cacng3
RBBP6_MOUSE	Rbbp6
TNR6A_MOUSE	Tnrc6a
RHG17_MOUSE	Arhgap17
TYW4_MOUSE	Lcmt2
AQP8_MOUSE	Aqp8
HS3SA_MOUSE	Hs3st3a1
TXTP_MOUSE	Slc25a1
KDM8_MOUSE	Kdm8
NSE1_MOUSE	Nsmce1
IL4RA_MOUSE	Il4r
IL21R_MOUSE	Il21r
TF3C1_MOUSE	Gtf3c1
K0556_MOUSE	Kiaa0556
GSG1L_MOUSE	Gsg1l
XPO6_MOUSE	Xpo6
RBMX2_MOUSE	Rbmx2
SBK1_MOUSE	Sbk1
SPNS1_MOUSE	Spns1
NF2IP_MOUSE	Nfatc2ip
CD19_MOUSE	Cd19
RABE2_MOUSE	Rabep2
AT2A1_MOUSE	Atp2a1
EFTU_MOUSE	Tufm
ATX2L_MOUSE	Atxn2l
EIF3C_MOUSE	Eif3c
CLN3_MOUSE	Cln3
APOBR_MOUSE	Apobr
IL27A_MOUSE	Il27
SGF29_MOUSE	Sgf29
ST1A1_MOUSE	Sult1a1
SLX1_MOUSE	Slx1b
COR1A_MOUSE	Coro1a
MK03_MOUSE	Mapk3
GDPD3_MOUSE	Gdpd3
YPEL3_MOUSE	Ypel3
TBX6_MOUSE	Tbx6
PP4C_MOUSE	Ppp4c
ALDOA_MOUSE	Aldoa
FA57B_MOUSE	Fam57b
DOC2A_MOUSE	Doc2a
HIRP3_MOUSE	Hirip3
TAOK2_MOUSE	Taok2
TM219_MOUSE	Tmem219
BACD1_MOUSE	Kctd13
SE6L2_MOUSE	Sez6l2
CDIPT_MOUSE	Cdipt
MVP_MOUSE	Mvp
KIF22_MOUSE	Kif22
ZG16_MOUSE	Zg16
NADC_MOUSE	Qprt
LEUK_MOUSE	Spn
CD2B2_MOUSE	Cd2bp2
TB10B_MOUSE	Tbc1d10b
MLRS_MOUSE	Mylpf
SEPT1_MOUSE	Sept1
ZNF48_MOUSE	Znf48
ZN771_MOUSE	Znf771
SPS2_MOUSE	Sephs2
ITAL_MOUSE	Itgal
ZN768_MOUSE	Znf768
ZN689_MOUSE	Znf689
PRR14_MOUSE	Prr14
FBRS_MOUSE	Fbrs
PHKG2_MOUSE	Phkg2
CC189_MOUSE	Ccdc189
BRE1B_MOUSE	Rnf40
ZN629_MOUSE	Znf629
BCL7C_MOUSE	Bcl7c
CTF1_MOUSE	Ctf1
CTF2_MOUSE	Ctf2
FXL19_MOUSE	Fbxl19
SET1A_MOUSE	Setd1a
3BHS7_MOUSE	Hsd3b7
STX1B_MOUSE	Stx1b
STX4_MOUSE	Stx4
ZN668_MOUSE	Znf668
PRS53_MOUSE	Prss53
BCKD_MOUSE	Bckdk
KAT8_MOUSE	Kat8
PRSS8_MOUSE	Prss8
FUS_MOUSE	Fus
ASC_MOUSE	Pycard
CCNB1_MOUSE	Ccnb1
ITAM_MOUSE	Itgam
ITAX_MOUSE	Itgax
ITAD_MOUSE	Itgad
CX6A2_MOUSE	Cox6a2
ZN436_MOUSE	Znf436
ARMC5_MOUSE	Armc5
AHSP_MOUSE	Ahsp
GRK5_MOUSE	Grk5
RGS10_MOUSE	Rgs10
TIAR_MOUSE	Tial1
BAG3_MOUSE	Bag3
SAC2_MOUSE	Inpp5f
MCMBP_MOUSE	Mcmbp
S23IP_MOUSE	Sec23ip
RS23_MOUSE	Rps23
CBX1_MOUSE	Cbx1
PLPP4_MOUSE	Plpp4
WDR11_MOUSE	Wdr11
FGFR2_MOUSE	Fgfr2
ATE1_MOUSE	Ate1
ZRAS1_MOUSE	Znrd1-as
EID3_MOUSE	Eid3
TACC2_MOUSE	Tacc2
BTBDG_MOUSE	Btbd16
PKHA1_MOUSE	Plekha1
HTRA1_MOUSE	Htra1
DMBT1_MOUSE	Dmbt1
CUZD1_MOUSE	Cuzd1
ACDSB_MOUSE	Acadsb
HMX3_MOUSE	Hmx3
HMX2_MOUSE	Hmx2
BUB3_MOUSE	Bub3
GPR26_MOUSE	Gpr26
CPXM2_MOUSE	Cpxm2
CHSTF_MOUSE	Chst15
RL10L_MOUSE	Rpl10l
OAT_MOUSE	Oat
LHPP_MOUSE	Lhpp
FA53B_MOUSE	Fam53b
ABRX2_MOUSE	Abraxas2
ZRAN1_MOUSE	Zranb1
EDRF1_MOUSE	Edrf1
MMP21_MOUSE	Mmp21
HEM4_MOUSE	Uros
BCCIP_MOUSE	Bccip
DHX32_MOUSE	Dhx32
FANK1_MOUSE	Fank1
ADA12_MOUSE	Adam12
CJ090_MOUSE	D7Ertd443e
RM13_MOUSE	Mrpl13
DOCK1_MOUSE	Dock1
INSY2_MOUSE	Insyn2a
FOXI2_MOUSE	Foxi2
CLRN3_MOUSE	Clrn3
PTPRE_MOUSE	Ptpre
KI67_MOUSE	Mki67
COE3_MOUSE	Ebf3
GLRX3_MOUSE	Glrx3
TCRGL_MOUSE	Tcerg1l
2ABD_MOUSE	Ppp2r2d
BNIP3_MOUSE	Bnip3
JKIP3_MOUSE	Jakmip3
DPYL4_MOUSE	Dpysl4
ST32C_MOUSE	Stk32c
LRC27_MOUSE	Lrrc27
PWP2A_MOUSE	Pwwp2a
NKX61_MOUSE	Nkx6-1
AGRA1_MOUSE	Adgra1
KNDC1_MOUSE	Kndc1
UTF1_MOUSE	Utf1
ADAM8_MOUSE	Adam8
GCP2_MOUSE	Tubgcp2
ZN511_MOUSE	Znf511
MSX3_MOUSE	Msx3
CALY_MOUSE	Caly
PRAP1_MOUSE	Prap1
FUCM_MOUSE	Fuom
ECHM_MOUSE	Echs1
PAOX_MOUSE	Paox
C163A_MOUSE	Cd163
OL139_MOUSE	Olfr139
CP2E1_MOUSE	Cyp2e1
SYCE1_MOUSE	Syce1
HIUH_MOUSE	Urah
SG1C1_MOUSE	Scgb1c1
ODF3A_MOUSE	Odf3
BET1L_MOUSE	Bet1l
RIC8A_MOUSE	Ric8a
SIR3_MOUSE	Sirt3
PGGHG_MOUSE	Pgghg
IFM5_MOUSE	Ifitm5
IFM2_MOUSE	Ifitm2
IFM3_MOUSE	Ifitm3
B4GN4_MOUSE	B4galnt4
PKP3_MOUSE	Pkp3
ANO9_MOUSE	Ano9
PTSS2_MOUSE	Ptdss2
RINI_MOUSE	Rnh1
LRC56_MOUSE	Lrrc56
LMTD2_MOUSE	Lmntd2
PHRF1_MOUSE	Phrf1
IRF7_MOUSE	Irf7
CDHR5_MOUSE	Cdhr5
DRD4_MOUSE	Drd4
DEAF1_MOUSE	Deaf1
ES8L2_MOUSE	Eps8l2
TALDO_MOUSE	Taldo1
GALD1_MOUSE	Gatd1
CEND_MOUSE	Cend1
PIDD1_MOUSE	Pidd1
PLPL2_MOUSE	Pnpla2
EFC4A_MOUSE	Cracr2b
CD151_MOUSE	Cd151
RPAB5_MOUSE	Polr2l
TSN4_MOUSE	Tspan4
CHID1_MOUSE	Chid1
AP2A2_MOUSE	Ap2a2
MUC6_MOUSE	Muc6
SPR1A_MOUSE	Sprr1a
MUC2_MOUSE	Muc2
TOLIP_MOUSE	Tollip
BRSK1_MOUSE	Brsk1
MOB2_MOUSE	Mob2
DUS8_MOUSE	Dusp8
CATD_MOUSE	Ctsd
TNNI2_MOUSE	Tnni2
LSP1_MOUSE	Lsp1
PRR33_MOUSE	Prr33
TNNT3_MOUSE	Tnnt3
IGF2_MOUSE	Igf2
INS2_MOUSE	Ins2
FRIL1_MOUSE	Ftl1
TY3H_MOUSE	Th
ASCL2_MOUSE	Ascl2
TSN32_MOUSE	Tspan32
CD81_MOUSE	Cd81
TSSC4_MOUSE	Tssc4
TRPM5_MOUSE	Trpm5
KCNQ1_MOUSE	Kcnq1
CDN1C_MOUSE	Cdkn1c
S22AI_MOUSE	Slc22a18
PHLA2_MOUSE	Phlda2
NP1L4_MOUSE	Nap1l4
SYCC_MOUSE	Cars
OSBL5_MOUSE	Osbpl5
MRGRG_MOUSE	Mrgprg
MRGRE_MOUSE	Mrgpre
NADE_MOUSE	Nadsyn1
DHCR7_MOUSE	Dhcr7
ACTA_MOUSE	Acta2
SHAN1_MOUSE	Shank1
SHAN2_MOUSE	Shank2
LIPA2_MOUSE	Ppfia2
FADD_MOUSE	Fadd
ANO1_MOUSE	Ano1
FGF3_MOUSE	Fgf3
FGF15_MOUSE	Fgf15
LTO1_MOUSE	Lto1
CCND1_MOUSE	Ccnd1
TPC2_MOUSE	Tpcn2
MRGRF_MOUSE	Mrgprf
MRGRD_MOUSE	Mrgprd
SMBP2_MOUSE	Ighmbp2
CPT1A_MOUSE	Cpt1a
MTL5_MOUSE	Tesmin
PP6R3_MOUSE	Ppp6r3
LRP5_MOUSE	Lrp5
KMT5B_MOUSE	Kmt5b
CHKA_MOUSE	Chka
AL3B1_MOUSE	Aldh3b1
UN93B_MOUSE	Unc93b1
ACY3_MOUSE	Acy3
TBX10_MOUSE	Tbx10
NUDT8_MOUSE	Nudt8
DOC2G_MOUSE	Doc2g
NDUV1_MOUSE	Ndufv1
GSTP1_MOUSE	Gstp1
GSTP2_MOUSE	Gstp2
PITM1_MOUSE	Pitpnm1
AIP_MOUSE	Aip
GP152_MOUSE	Gpr152
COR1B_MOUSE	Coro1b
KS6B2_MOUSE	Rps6kb2
CRNS1_MOUSE	Carns1
TB10C_MOUSE	Tbc1d10c
PP1A_MOUSE	Ppp1ca
RAD9A_MOUSE	Rad9a
CLCF1_MOUSE	Clcf1
DPOD4_MOUSE	Pold4
SSH3_MOUSE	Ssh3
AN13D_MOUSE	Ankrd13d
ARBK1_MOUSE	Grk2
KDM2A_MOUSE	Kdm2a
RHOD_MOUSE	Rhod
SYT12_MOUSE	Syt12
GPX4_MOUSE	Gpx4
PYC_MOUSE	Pc
LRFN4_MOUSE	Lrfn4
FACE2_MOUSE	Rce1
TO6BL_MOUSE	Top6bl
SPTB2_MOUSE	Sptbn1
RBM4B_MOUSE	Rbm4b
RBM4_MOUSE	Rbm4
RBM14_MOUSE	Rbm14
CCS_MOUSE	Ccs
CCD87_MOUSE	Ccdc87
CATF_MOUSE	Ctsf
ACTN3_MOUSE	Actn3
ZDH24_MOUSE	Zdhhc24
BBS1_MOUSE	Bbs1
DPP3_MOUSE	Dpp3
RM11_MOUSE	Mrpl11
NPAS4_MOUSE	Npas4
S29A2_MOUSE	Slc29a2
B4GA1_MOUSE	B4gat1
RIN1_MOUSE	Rin1
CD248_MOUSE	Cd248
T151A_MOUSE	Tmem151a
YIF1A_MOUSE	Yif1a
CNIH2_MOUSE	Cnih2
KLC2_MOUSE	Klc2
PACS1_MOUSE	Pacs1
G3ST3_MOUSE	Gal3st3
CTSR1_MOUSE	Catsper1
CYTC_MOUSE	Cst3
BAF_MOUSE	Banf1
EIF1A_MOUSE	Eif1ad
SNUT1_MOUSE	Sart1
CK068_MOUSE	Bles03
FOSL1_MOUSE	Fosl1
CC85B_MOUSE	Ccdc85b
FIBP_MOUSE	Fibp
CATW_MOUSE	Ctsw
FBLN4_MOUSE	Efemp2
MUS81_MOUSE	Mus81
SNX32_MOUSE	Snx32
OVOL1_MOUSE	Ovol1
AP5B1_MOUSE	Ap5b1
RNH2C_MOUSE	Rnaseh2c
KAT5_MOUSE	Kat5
TF65_MOUSE	Rela
SIPA1_MOUSE	Sipa1
PCX3_MOUSE	Pcnx3
M3K11_MOUSE	Map3k11
EH1L1_MOUSE	Ehbp1l1
LRA25_MOUSE	Fam89b
SSA27_MOUSE	Sssca1
LTBP3_MOUSE	Ltbp3
SCYL1_MOUSE	Scyl1
FRMD8_MOUSE	Frmd8
S2545_MOUSE	Slc25a45
TIGD3_MOUSE	Tigd3
REQU_MOUSE	Dpf2
BORG1_MOUSE	Cdc42ep2
DPOA2_MOUSE	Pola2
CAN1_MOUSE	Capn1
SYVN1_MOUSE	Syvn1
RM49_MOUSE	Mrpl49
ZNHI2_MOUSE	Znhit2
ERG24_MOUSE	Tm7sf2
VPS51_MOUSE	Vps51
ZFPL1_MOUSE	Zfpl1
CDCA5_MOUSE	Cdca5
NALDL_MOUSE	Naaladl1
SAC31_MOUSE	Sac3d1
SNX15_MOUSE	Snx15
ARL2_MOUSE	Arl2
BATF2_MOUSE	Batf2
MAJIN_MOUSE	Majin
2A5B_MOUSE	Ppp2r5b
ATG2A_MOUSE	Atg2a
EHD1_MOUSE	Ehd1
MRCKG_MOUSE	Cdc42bpg
MEN1_MOUSE	Men1
M4K2_MOUSE	Map4k2
